Tumor_Sample_ID,Tumor_Sample_Index
TCGA-AA-A029,858
TCGA-AA-3860,859
TCGA-AO-A03U,860
TCGA-55-7281,861
TCGA-D8-A1JM,862
TCGA-91-7771,863
TCGA-OK-A5Q2,864
TCGA-A8-A0A1,865
TCGA-A7-A4SD,866
TCGA-D1-A0ZV,867
TCGA-19-5959,868
TCGA-A5-A0GX,869
TCGA-23-2077,870
TCGA-A5-A0GW,871
TCGA-EW-A1P8,872
TCGA-A8-A09I,873
TCGA-25-1313,874
TCGA-A8-A06N,875
TCGA-AN-A041,876
TCGA-D8-A1XU,877
TCGA-AA-3821,878
TCGA-A2-A0EW,879
TCGA-13-0730,880
TCGA-19-5947,881
TCGA-12-0821,882
TCGA-AR-A0TS,883
TCGA-09-1669,884
TCGA-D1-A15X,885
TCGA-BH-A0C3,886
TCGA-24-1464,887
TCGA-04-1525,888
TCGA-BH-A0E1,889
TCGA-D1-A17L,890
TCGA-64-1681,891
TCGA-25-2393,892
TCGA-AC-A2BM,893
TCGA-44-6779,894
TCGA-67-3773,895
TCGA-76-6285,896
TCGA-D1-A15Z,897
TCGA-OL-A5RY,898
TCGA-AG-3894,899
TCGA-28-5207,900
TCGA-EW-A2FR,901
TCGA-A6-3808,902
TCGA-BH-A1EV,903
TCGA-24-1426,904
TCGA-A1-A0SJ,905
TCGA-26-1439,906
TCGA-25-1628,907
TCGA-D1-A17N,908
TCGA-AO-A0J5,909
TCGA-04-1346,910
TCGA-A8-A082,911
TCGA-AA-A02O,912
TCGA-AO-A1KO,913
TCGA-06-0745,914
TCGA-AP-A0LT,915
TCGA-76-6193,916
TCGA-BG-A0MU,917
TCGA-AA-3812,918
TCGA-25-2399,919
TCGA-A2-A259,920
TCGA-AO-A0J8,921
TCGA-AA-3973,922
TCGA-13-1487,923
TCGA-GM-A2DL,924
TCGA-AG-3600,925
TCGA-76-4925,926
TCGA-AO-A0J6,927
TCGA-E2-A574,928
TCGA-59-2351,929
TCGA-D8-A27N,930
TCGA-BH-A0EB,931
TCGA-AG-3594,932
TCGA-A5-A0GQ,933
TCGA-25-1321,934
TCGA-06-0209,935
TCGA-A6-3810,936
