Gene_Name,Index
ARHGAP35,941
ARHGAP36,942
ARHGAP39,943
ARHGAP4,944
ARHGAP40,945
ARHGAP42,946
ARHGAP44,947
ARHGAP5,948
ARHGAP6,949
ARHGAP8,950
ARHGAP9,951
ARHGDIA,952
ARHGDIB,953
ARHGDIG,954
ARHGEF1,955
ARHGEF10,956
ARHGEF10L,957
ARHGEF11,958
ARHGEF12,959
ARHGEF15,960
ARHGEF16,961
ARHGEF17,962
ARHGEF18,963
ARHGEF19,964
ARHGEF2,965
ARHGEF25,966
ARHGEF26,967
ARHGEF28,968
ARHGEF3,969
ARHGEF33,970
ARHGEF35,971
ARHGEF37,972
ARHGEF38,973
ARHGEF39,974
ARHGEF4,975
ARHGEF40,976
ARHGEF5,977
ARHGEF6,978
ARHGEF7,979
ARHGEF9,980
ARID1A,981
ARID1B,982
ARID2,983
ARID3A,984
ARID3B,985
ARID3C,986
ARID4A,987
ARID4B,988
ARID5A,989
ARID5B,990
ARIH1,991
ARIH2,992
ARL1,993
ARL10,994
ARL11,995
ARL13A,996
ARL13B,997
ARL14,998
ARL14EP,999
ARL15,1000
ARL16,1001
ARL17A,1002
ARL17B,1003
ARL2,1004
ARL2BP,1005
ARL3,1006
ARL4A,1007
ARL4C,1008
ARL4D,1009
ARL5A,1010
ARL5B,1011
ARL5C,1012
ARL6,1013
ARL6IP1,1014
ARL6IP4,1015
ARL6IP5,1016
ARL6IP6,1017
ARL8A,1018
ARL8B,1019
ARL9,1020
ARMC1,1021
ARMC10,1022
ARMC12,1023
ARMC2,1024
ARMC3,1025
ARMC4,1026
ARMC5,1027
ARMC6,1028
ARMC7,1029
ARMC8,1030
ARMC9,1031
ARMCX1,1032
ARMCX2,1033
ARMCX3,1034
ARMCX4,1035
ARMCX5,1036
ARMCX6,1037
ARMS2,1038
ARNT,1039
ARNT2,1040
ARNTL,1041
ARNTL2,1042
ARPC1A,1043
ARPC1B,1044
ARPC2,1045
ARPC3,1046
ARPC4,1047
ARPC4-TTLL3,1048
ARPC5,1049
ARPC5L,1050
ARPM1,1051
ARPP-21,1052
ARPP19,1053
ARPP21,1054
ARR3,1055
ARRB1,1056
ARRB2,1057
ARRDC1,1058
ARRDC2,1059
ARRDC3,1060
ARRDC4,1061
ARRDC5,1062
ARSA,1063
ARSB,1064
ARSD,1065
ARSE,1066
ARSF,1067
ARSG,1068
ARSH,1069
ARSI,1070
ARSJ,1071
ARSK,1072
ART1,1073
ART3,1074
ART4,1075
ART5,1076
ARV1,1077
ARVCF,1078
ARX,1079
AS3MT,1080
ASAH1,1081
ASAH2,1082
ASAH2B,1083
ASAH2C,1084
ASAM,1085
ASAP1,1086
ASAP2,1087
ASAP3,1088
ASB1,1089
ASB10,1090
ASB11,1091
ASB12,1092
ASB13,1093
ASB14,1094
ASB15,1095
ASB16,1096
ASB17,1097
ASB18,1098
ASB2,1099
ASB3,1100
ASB4,1101
ASB5,1102
ASB6,1103
ASB7,1104
ASB8,1105
ASB9,1106
ASCC1,1107
ASCC2,1108
ASCC3,1109
ASCL1,1110
ASCL3,1111
ASCL4,1112
ASF1A,1113
ASF1B,1114
ASGR1,1115
ASGR2,1116
ASH1L,1117
ASH2L,1118
ASIC1,1119
ASIC2,1120
ASIC3,1121
ASIC4,1122
ASIC5,1123
ASL,1124
ASMT,1125
ASMTL,1126
ASNA1,1127
ASNS,1128
ASNSD1,1129
ASPA,1130
ASPDH,1131
ASPG,1132
ASPH,1133
ASPHD1,1134
ASPHD2,1135
ASPM,1136
ASPN,1137
ASPRV1,1138
ASPSCR1,1139
ASRGL1,1140
ASS1,1141
ASTE1,1142
ASTL,1143
ASTN1,1144
ASTN2,1145
ASUN,1146
ASXL1,1147
ASXL2,1148
ASXL3,1149
ASZ1,1150
ATAD1,1151
ATAD2,1152
ATAD2B,1153
ATAD3A,1154
ATAD3B,1155
ATAD3C,1156
ATAD5,1157
ATAT1,1158
ATCAY,1159
ATE1,1160
ATF1,1161
ATF2,1162
ATF3,1163
ATF4,1164
ATF5,1165
ATF6,1166
ATF6B,1167
ATF7,1168
ATF7IP,1169
ATF7IP2,1170
ATG10,1171
ATG12,1172
ATG13,1173
ATG14,1174
ATG16L1,1175
ATG16L2,1176
ATG2A,1177
ATG2B,1178
ATG3,1179
ATG4A,1180
ATG4B,1181
ATG4C,1182
ATG4D,1183
ATG5,1184
ATG7,1185
ATG9A,1186
ATG9B,1187
ATHL1,1188
ATIC,1189
ATL1,1190
ATL2,1191
ATL3,1192
ATM,1193
ATMIN,1194
ATN1,1195
ATOH1,1196
ATOH7,1197
ATOH8,1198
ATOX1,1199
ATP10A,1200
ATP10B,1201
ATP10D,1202
ATP11A,1203
ATP11B,1204
ATP11C,1205
ATP12A,1206
ATP13A1,1207
ATP13A2,1208
ATP13A3,1209
ATP13A4,1210
ATP13A5,1211
ATP1A1,1212
ATP1A2,1213
ATP1A3,1214
ATP1A4,1215
ATP1B1,1216
ATP1B2,1217
ATP1B3,1218
ATP1B4,1219
ATP2A1,1220
ATP2A2,1221
ATP2A3,1222
ATP2B1,1223
ATP2B2,1224
ATP2B3,1225
ATP2B4,1226
ATP2C1,1227
ATP2C2,1228
ATP4A,1229
ATP4B,1230
ATP5A1,1231
ATP5B,1232
ATP5C1,1233
ATP5D,1234
ATP5E,1235
ATP5EP2,1236
ATP5F1,1237
ATP5G1,1238
ATP5G2,1239
ATP5G3,1240
ATP5H,1241
ATP5I,1242
ATP5J,1243
ATP5J2,1244
ATP5L,1245
ATP5L2,1246
ATP5O,1247
ATP5S,1248
ATP5SL,1249
ATP6AP1,1250
ATP6AP1L,1251
ATP6AP2,1252
ATP6V0A1,1253
ATP6V0A2,1254
ATP6V0A4,1255
ATP6V0B,1256
ATP6V0C,1257
ATP6V0D1,1258
ATP6V0D2,1259
ATP6V0E1,1260
ATP6V0E2,1261
ATP6V1A,1262
ATP6V1B1,1263
ATP6V1B2,1264
ATP6V1C1,1265
ATP6V1C2,1266
ATP6V1D,1267
ATP6V1E1,1268
ATP6V1E2,1269
ATP6V1F,1270
ATP6V1G1,1271
ATP6V1G2,1272
ATP6V1G3,1273
ATP6V1H,1274
ATP7A,1275
ATP7B,1276
ATP8A1,1277
ATP8A2,1278
ATP8B1,1279
ATP8B2,1280
ATP8B3,1281
ATP8B4,1282
ATP9A,1283
ATP9B,1284
ATPAF1,1285
ATPAF1-AS1,1286
ATPAF2,1287
ATPBD4,1288
ATPIF1,1289
ATR,1290
ATRAID,1291
ATRIP,1292
ATRN,1293
ATRNL1,1294
ATRX,1295
ATXN1,1296
ATXN10,1297
ATXN1L,1298
ATXN2,1299
ATXN2L,1300
ATXN3,1301
ATXN3L,1302
ATXN7,1303
ATXN7L1,1304
ATXN7L2,1305
ATXN7L3,1306
AUH,1307
AUNIP,1308
AUP1,1309
AURKA,1310
AURKAIP1,1311
AURKB,1312
AURKC,1313
AUTS2,1314
AVEN,1315
